hr2,Stavrina,Asimaki,12.3.2019,m@gmail.com,Thes,2105023234,HR,Fulltime,Manager
hr1,Maria,Asimaki,12.3.2019,m@gmail.com,Thes,2105023234,HR,Fulltime,Manager
f3,Vasilis,Apostolou,3.3.2009,v@gmail.com,Axarnwn 5,6900303948,Finance,Fulltime,Employee
hr4,George,Moraitis,12.2.2017,g@gmail.com,Thivon 45,2109874638,HR,Fulltime,Employee
it5,Katerina,Liaska,22.4.2008,k@gmail.com,Troias 22,6923670333,IT,Fulltime,Manager
m6,Petros,Kaminias,8.3.2010,p@gmail,com.Patisiwn 34,6988888888,Marketing,Fulltime,Employee
hr8,Marina,Anastasiou,12.2.2018,ma@gmail.com,Antwniadou 11,6982076555,HR,Partime,Employee
hr11,Dimitris,Dimitriou,23.3.2009,dim@gmail.com,Peukis 2,6922222222,Finance,Fulltime,Manager
cc13,Giannis,Ioannou,4.4.2010,gia@gmail.com,Perikleous 4,6088346522,Customer Care,Fulltime,Manager
it17,Ioannis,Dimitriou,24.3.2015,ion@gmail.com,Malesias 3,69726272819,IT,Fulltime,Manager
ex18,Asimina,Kanotomou,9.9.2009,kan@gmail.com,Agiou Dimitriou 5,6989999999,Consulting,Contractor,Employee
m21,Souzana,Klamenou,6.6.2009,kla@gmail.com,Kifisias 45,6903728722,Marketing,Fulltime,Assistant Manager
it89,Antwnioos,Lamprou,25.2.2006,La@gmail.com,Rafina 5,6900333356,IT,Fulltime,Employee
it22,Mixalhs,Korkolis,24.10.2018,mix@gmail.com,Petroupolews 99,6980034637,IT,Fulltime,Employee
ex10,Manwlis,Saroglou,7.5.2017,sar@gmail.com,Dimitrias 90,6973624422,Consulting,Contractor,Employee
f78,Giwta,Kitsiou,23.5.2009,gie@gmail.com,Pathsiwn 34,6946372846,Finance,Fulltime,Manager
m99,Mar,Hernandez,8.10.2016,mar@gmail.com,Messhnias 55,6900000000,Marketing,Fulltime,Manager
f19,Periklis,Antwniou,5.5.2012,per@gmail.com,Athinwn 8,6907635276,Finance,Fulltime,Employee

it77,foo,BarFoo,2.2.2015,foo@bar,FooBar 4,6900000009,IT,Fulltiime,Employee
